,State,GDP in Millions,million metric tons of CO2,Private services-providing industries,Natural resources and mining,Private goods-producing industries,Manufacturing and information,Transportation and utilities,Trade,GDP to CO2
50,Wyoming,38426.9,64.092863,19977.5,7729.3,12299.2,2999.3,4186.3,3809.6,599.5503742749017
48,West Virginia,71318.5,91.963078,42558.2,6859.2,17068.3,8531.4,4247.2,8518.7,775.5123202814069
34,North Dakota,55996.9,57.92306,32877.9,9582.7,17347.5,5053.6,4430.9,8377.0,966.746231984291
18,Louisiana,235113.5,185.559256,138335.9,11689.5,70306.9,50710.4,14687.2,26937.7,1267.0534742820912
26,Montana,46604.1,32.531645,30044.3,3925.5,9714.5,4432.4,3200.5,5525.4,1432.5774180801493
1,Alaska,51490.9,35.027804,28585.0,8271.8,12547.4,3258.7,6885.3,3494.6,1470.0008027908343
17,Kentucky,193413.1,131.34297,117649.0,5677.2,48127.4,39926.2,12262.4,24642.2,1472.580527149645
0,Alabama,202372.4,119.200889,123514.6,4153.3,44962.3,37973.0,11152.9,24913.3,1697.7423717032848
24,Mississippi,105914.6,61.296921,63872.8,3209.2,23355.1,18848.7,6795.6,13818.3,1727.8942934180986
14,Indiana,331945.7,187.233514,192801.2,5047.0,107898.2,96847.7,17922.7,37924.6,1772.8968116252947
31,New Mexico,90274.3,50.691832,52659.6,8275.3,15656.8,6710.9,4133.6,8584.8,1780.8450876267405
36,Oklahoma,186815.6,100.288331,108388.3,24190.1,49476.4,22828.0,15663.3,21200.3,1862.7850133431775
3,Arkansas,117786.8,59.053365,76060.7,4302.1,26077.2,20202.5,8178.4,17551.6,1994.5823578385416
27,Nebraska,116514.6,50.710576,77430.1,8073.3,24842.4,15931.0,12236.0,13834.4,2297.639056594427
15,Iowa,180299.3,77.41574,108609.0,9381.5,51380.0,38991.8,8678.2,19837.0,2328.9747020437962
44,Utah,149153.4,63.613022,100085.1,4028.9,30100.6,24058.3,7394.7,18076.3,2344.6991718142235
25,Missouri,296929.3,124.747331,207784.4,3888.4,53588.3,50788.9,15360.3,37516.8,2380.2457144353652
43,Texas,1573498.4,655.143227,979371.9,134394.8,425183.3,271444.3,82798.5,219999.0,2401.7624469771094
16,Kansas,154958.2,64.51256,99566.1,5469.6,34826.1,28871.9,8725.0,20017.8,2401.984977808973
40,South Carolina,205816.7,73.398806,128934.3,1453.7,44712.3,39856.4,10375.0,25780.8,2804.0878485135036
22,Michigan,474983.3,164.455623,311471.5,4665.2,112112.1,104045.4,21037.6,59863.9,2888.2156251963484
35,Ohio,611019.5,211.196625,411435.4,7956.9,132466.7,120975.4,30178.5,75384.2,2893.1309863498054
38,Pennsylvania,714202.9,232.925227,515697.1,13860.8,127528.2,130866.4,36984.6,78867.0,3066.2324952891427
49,Wisconsin,307507.9,99.857015,196877.6,6581.7,76610.2,69516.2,14533.7,35503.3,3079.4821976202675
2,Arizona,299393.3,94.978784,216185.0,6188.9,43641.4,35720.8,15866.4,39286.6,3152.212393032953
42,Tennessee,325294.0,98.703926,224668.2,2305.1,63260.1,60344.5,16567.1,44251.5,3295.654116129079
